Team A,Team B,Score A,Score B,Date,Competition,Event,Venue
CCV STARS 14 Boys Orange PEO,Southeast 2015 Boys Black,0.0,0.0,2024-12-14,Holiday Classic,RSL-AZ Holiday Classic 2024,Reach 11 Sports Complex
2014B West,Southeast 2015 Boys Black,5.0,2.0,2024-12-14,Holiday Classic,RSL-AZ Holiday Classic 2024,Reach 11 Sports Complex
Premier Touch FC IE B15,Southeast 2015 Boys Black,0.0,1.0,2024-12-08,The Open,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
P2P Academy 2015,Southeast 2015 Boys Black,3.0,4.0,2024-12-07,The Open,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
Southeast 2015 Boys Black,Tuzos Academy Mesa 2015,11.0,0.0,2024-12-07,The Open,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
FRAM B15 Pre Elite Academy,Southeast 2015 Boys Black,1.0,2.0,2024-12-06,The Open,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
Southeast 2015 Boys Black,Tuzos Royals 2014,2.0,1.0,2024-11-30,Tournaments Powered by Rated Sports ,2024 Desert Super Cup,Bell94 Sports Complex
2014B Claret,Southeast 2015 Boys Black,2.0,3.0,2024-11-30,Tournaments Powered by Rated Sports ,2024 Desert Super Cup,Bell94 Sports Complex
Playmaker Futbol Academy 14B Gold,Southeast 2015 Boys Black,0.0,2.0,2024-11-29,Tournaments Powered by Rated Sports ,2024 Desert Super Cup,Bell94 Sports Complex
Atletico Tuzos Mesa 13/14,Southeast 2015 Boys Black,2.0,3.0,2024-11-24,Heritage Cup,2024 Heritage Cup ,HC- Crossroads Park
AZSC 13B Sobek,Southeast 2015 Boys Black,0.0,4.0,2024-11-24,Heritage Cup,2024 Heritage Cup ,HC- Crossroads Park
CCV Stars 13 Boys Orange SUR,Southeast 2015 Boys Black,16.0,1.0,2024-11-23,Heritage Cup,2024 Heritage Cup ,HC- Crossroads Park
CDO 13B Elite,Southeast 2015 Boys Black,0.0,13.0,2024-11-23,Heritage Cup,2024 Heritage Cup ,HC- Crossroads Park
Philadelphia Union Junior Academy 2015,Southeast 2015 Boys Black,1.0,4.0,2024-10-13,Cup Fall,EDP Cup Fall 2024,Tuckahoe Turf Farm
Black Conshy '15 (B),Southeast 2015 Boys Black,2.0,6.0,2024-10-13,Cup Fall,EDP Cup Fall 2024,Tuckahoe Turf Farm
Northwest 2015 Boys Black,SFC XOLOS ARIZONA 2015B,0.0,9.0,2025-10-11,Arsenal Challenge,Arsenal Challenge 2025,Arizona Athletic Grounds
BRAZAS FC 2015 Boys Black,Northwest 2015 Boys Black,4.0,2.0,2025-10-11,Arsenal Challenge,Arsenal Challenge 2025,Arizona Athletic Grounds
15B AChacon Pre-MLS Next,Northwest 2015 Boys Black,1.0,1.0,2025-09-28,The Derby 2025,The Derby 2025,Reata Sports Complex
BRAZAS FC 2015 Boys Black,Northwest 2015 Boys Black,3.0,5.0,2025-09-28,The Derby 2025,The Derby 2025,Reata Sports Complex
Northwest 2015 Boys Black,Phoenix Premier FC 15B Black,0.0,0.0,2025-09-26,The Derby 2025,The Derby 2025,Reata Sports Complex
Las Vegas Sports Academy U11 Boys Red 2015,Northwest 2015 Boys Black,2.0,1.0,2025-09-14,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
15B Garza Pre MLS Next,Northwest 2015 Boys Black,1.0,8.0,2025-09-13,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
15B NMarkette Pre-MLS Next,Northwest 2015 Boys Black,6.0,0.0,2025-09-12,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
Dynamos SC 15B SC,Northwest 2015 Boys Black,2.0,5.0,2025-09-07,Tuzos Challenge,Tuzos Challenge 2025,West Valley Events Complex - Field
Excel Soccer Academy 15B Red,Northwest 2015 Boys Black,3.0,4.0,2025-09-07,Tuzos Challenge,Tuzos Challenge 2025,West Valley Events Complex - Field
Excel Soccer Academy 15B Red,Northwest 2015 Boys Black,1.0,7.0,2025-09-06,Tuzos Challenge,Tuzos Challenge 2025,West Valley Events Complex - Field
Northwest 2015 Boys Black,State 48 FC 15 Elite,2.0,7.0,2025-09-06,Tuzos Challenge,Tuzos Challenge 2025,West Valley Events Complex - Field
Brazas 2014 Boys Black Marcos,Northwest 2015 Boys Black,5.0,2.0,2025-04-05,Brazas Ginga Champions ,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
Northwest 2015 Boys Black,PRFC Southeast Valley 14B Predator-Central,11.0,0.0,2025-04-05,Brazas Ginga Champions ,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
CCV STARS 14 Boys Navy LAV,Northwest 2015 Boys Black,14.0,0.0,2025-04-04,Brazas Ginga Champions ,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
Next Level Soccer Southeast 2014 Boys Blue,Northwest 2015 Boys Black,0.0,1.0,2025-03-23,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
Legends FC AZ 14B Gold,Northwest 2015 Boys Black,1.0,1.0,2025-03-22,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
BVBIA 14B North America,Northwest 2015 Boys Black,2.0,1.0,2025-03-22,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
B14 HR,Northwest 2015 Boys Black,1.0,1.0,2025-03-21,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
AZEV B2014 (NAVY),Northwest 2015 Boys Black,1.0,2.0,2025-03-08,Ostrich Festival,2025 Ostrich Festival,Scottsdale Sports Complex
CCV STARS 14 Boys Orange LAV,Northwest 2015 Boys Black,0.0,2.0,2025-03-08,Ostrich Festival,2025 Ostrich Festival,Scottsdale Sports Complex
Northwest 2015 Boys Black,PRFC Scottsdale 15B Copa,1.0,9.0,2025-03-07,Ostrich Festival,2025 Ostrich Festival,Reach 11 Sports Complex
Northwest 2015 Boys Black,Phoenix United 2015 Elite,4.0,3.0,2025-02-22,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Northwest 2015 Boys Black,PRFC North Valley 14B PreAcademy,1.0,6.0,2025-02-22,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
CCV STARS 15 Boys Orange PEO,Northwest 2015 Boys Black,2.0,3.0,2025-02-21,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Central 14B Select I,Northwest 2015 Boys Black,3.0,3.0,2025-02-09,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
Legends FC AZ 14B Gold,Northwest 2015 Boys Black,2.0,5.0,2025-02-08,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
AZSC 15B Navy,Northwest 2015 Boys Black,4.0,3.0,2025-02-08,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
Northwest 2015 Boys Black,Players 15 Boys Junior Elite,0.0,4.0,2025-01-19,Vegas Cup,Vegas Cup 2025,Ed Fountain Park
2015B Pre-MLS,Northwest 2015 Boys Black,4.0,0.0,2025-01-19,Vegas Cup,Vegas Cup 2025,James Regional Park
FRAM B15 Pre Elite Academy,Northwest 2015 Boys Black,4.0,5.0,2025-01-18,Vegas Cup,Vegas Cup 2025,James Regional Park
14,Northwest 2015 Boys Black,5.0,4.0,2025-01-05,New Year's Futures Cup,New Year's Futures Cup 2025,Reach 11 Sports Complex
Next Level Soccer Southeast 2015 Boys Black,Northwest 2015 Boys Black,0.0,3.0,2025-01-04,New Year's Futures Cup,New Year's Futures Cup 2025,Reach 11 Sports Complex
14B JCFresquez Pre-MLS Next,Northwest 2015 Boys Black,2.0,0.0,2025-01-03,New Year's Futures Cup,New Year's Futures Cup 2025,Reach 11 Sports Complex
Northwest 2015 Boys Black,TFA-SELA B2015 Red,1.0,0.0,2024-12-07,The Open,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
AZ Arsenal 15 Boys Teal 1 JZ,Northwest 2015 Boys Black,7.0,0.0,2024-12-07,The Open,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
Albion SC Santa Ana B15 Academy,Northwest 2015 Boys Black,3.0,1.0,2024-12-06,The Open,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
15B Chacon,Northwest 2015 Boys Black,0.0,1.0,2024-12-01,Tournaments Powered by Rated Sports ,2024 Desert Super Cup,Bell94 Sports Complex
ELI7E FC- ELITE 2014,Northwest 2015 Boys Black,1.0,1.0,2024-11-30,Tournaments Powered by Rated Sports ,2024 Desert Super Cup,Bell94 Sports Complex
2014B West,Northwest 2015 Boys Black,0.0,1.0,2024-11-29,Tournaments Powered by Rated Sports ,2024 Desert Super Cup,Bell94 Sports Complex
Next Level Soccer Southeast 2015 Boys Red,Northwest 2015 Boys Black,0.0,3.0,2024-11-10,Kick for the Cure,Kick for the Cure 2024,West Valley Events Complex - Field
Excel Soccer Academy 15 Red,Northwest 2015 Boys Black,6.0,0.0,2024-11-09,Kick for the Cure,Kick for the Cure 2024,West Valley Events Complex - Field
2014B West,Northwest 2015 Boys Black,3.0,3.0,2024-11-09,Kick for the Cure,Kick for the Cure 2024,West Valley Events Complex - Field
AZSC 14B Perez,Northwest 2015 Boys Black,4.0,1.0,2024-11-08,Kick for the Cure,Kick for the Cure 2024,Rose Mofford Sports Complex
2014 Timbers Elite,Northwest 2015 Boys Black,2.0,5.0,2024-10-27,Phoenix Rising FC Tournaments - Fall Classic,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
Next Level Soccer Northwest 2014 Boys,Northwest 2015 Boys Black,1.0,7.0,2024-10-26,Phoenix Rising FC Tournaments - Fall Classic,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
Northwest 2015 Boys Black,PRFC Desert Foothills 14B Pre-Academy,3.0,4.0,2024-10-25,Phoenix Rising FC Tournaments - Fall Classic,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
ALBION SC Las Vegas B15 Academy I,Northwest 2015 Boys Black,5.0,0.0,2024-10-13,Tournaments Powered by Rated Sports ,2024 Scottsdale Cup,Rose Mofford Sports Complex
BRAZAS FC 2015 Boys Black,SFC XOLOS ARIZONA 2015B,0.0,0.0,2025-10-12,Arsenal Challenge,Arsenal Challenge 2025,Arizona Athletic Grounds
15B Jason Pre MLS Next,BRAZAS FC 2015 Boys Black,0.0,6.0,2025-10-04,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
BRAZAS FC 2015 Boys Black,PRFC North Valley 15B PreAcademy,4.0,0.0,2025-09-20,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
BRAZAS FC 2015 Boys Black,CCV Stars 15 Boys South Pre-ECNL,4.0,2.0,2025-09-07,Flagstaff Soccer United Cup,FSC Champions Cup (Boys - 2025),F- Thorpe Softball Complex
BRAZAS FC 2015 Boys Black,PRFC Scottsdale 15B Pre-Academy,2.0,3.0,2025-09-07,Flagstaff Soccer United Cup,FSC Champions Cup (Boys - 2025),F- Thorpe Softball Complex
BRAZAS FC 2015 Boys Black,CDO 15B Premier,1.0,6.0,2025-09-06,Flagstaff Soccer United Cup,FSC Champions Cup (Boys - 2025),F- Thorpe Softball Complex
BRAZAS FC 2015 Boys Black,PRFC North Valley 15B PreAcademy,5.0,2.0,2025-09-06,Flagstaff Soccer United Cup,FSC Champions Cup (Boys - 2025),F- Thorpe Softball Complex
BRAZAS FC 2015 Boys Black,Tuzos Academy Mesa 2015,0.0,5.0,2025-08-31,Phoenix Rising Cup,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
BRAZAS FC 2015 Boys Black,PRFC Desert Foothills 15B Predator,6.0,0.0,2025-08-31,Phoenix Rising Cup,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
BRAZAS FC 2015 Boys Black,Tuzos Academy Mesa 2015,1.0,4.0,2025-08-30,Phoenix Rising Cup,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
BRAZAS FC 2015 Boys Black,PRFC North Valley 15B PreAcademy,3.0,1.0,2025-08-30,Phoenix Rising Cup,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
BRAZAS FC 2015 Boys Black,CCV STARS 15 Boys LAV,5.0,1.0,2025-04-06,Brazas Ginga Champions ,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
BRAZAS FC 2015 Boys Black,Next Level Soccer Southeast 2015 Boys Blue,2.0,2.0,2025-04-06,Brazas Ginga Champions ,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
BRAZAS FC 2015 Boys Black,CCV STARS 14 Boys EAV,7.0,3.0,2025-04-05,Brazas Ginga Champions ,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
AZSC 14B Azanger,BRAZAS FC 2015 Boys Black,3.0,1.0,2025-04-05,Brazas Ginga Champions ,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
BRAZAS FC 2015 Boys Black,Phoenix Premier FC 14B CG,4.0,1.0,2025-03-23,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
BRAZAS FC 2015 Boys Black,West Valley 2014 Boys Martinez Pre-Elite64,4.0,0.0,2025-03-22,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
BRAZAS FC 2015 Boys Black,PRFC Scottsdale 14B Predator,1.0,1.0,2025-03-22,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
BRAZAS FC 2015 Boys Black,So Cal Eagles Boys 2014C,2.0,1.0,2025-03-21,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Scottsdale Sports Complex (Rated Sports)
BRAZAS FC 2015 Boys Black,Next Level Soccer Northwest 2015 Boys Red,0.0,0.0,2025-03-01,Academy League,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
BRAZAS FC 2015 Boys Black,Phoenix Premier FC 15B Black,0.0,0.0,2025-03-01,Academy League,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
AZ Arsenal 15 Boys Teal 1 OC,BRAZAS FC 2015 Boys Black,0.0,0.0,2025-02-09,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
14 Cityzens,BRAZAS FC 2015 Boys Black,7.0,0.0,2025-02-09,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
BRAZAS FC 2015 Boys Black,Phoenix Premier FC 14B White,7.0,0.0,2025-02-08,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
BRAZAS FC 2015 Boys Black,FSC United 14 Boys,0.0,11.0,2025-02-08,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
2014 Rush Boys,BRAZAS FC 2015 Boys Black,1.0,4.0,2025-01-26,AZ Soccer Clash,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
BRAZAS FC 2015 Boys Black,Phoenix United 2015 Academy,2.0,0.0,2025-01-26,AZ Soccer Clash,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
BRAZAS FC 2015 Boys Black,Phoenix Premier FC 14B White,0.0,10.0,2025-01-25,AZ Soccer Clash,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
Amore 2014 Boys,BRAZAS FC 2015 Boys Black,3.0,5.0,2025-01-24,AZ Soccer Clash,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
BRAZAS FC 2015 Boys Black,PRFC Scottsdale 15B Copa,1.0,7.0,2024-12-15,Holiday Classic,RSL-AZ Holiday Classic 2024,
BRAZAS FC 2015 Boys Black,PRFC Scottsdale 16B Predator,5.0,3.0,2024-12-14,Holiday Classic,RSL-AZ Holiday Classic 2024,
BRAZAS FC 2015 Boys Black,Utah United Academy 2015,4.0,2.0,2024-12-14,Holiday Classic,RSL-AZ Holiday Classic 2024,
BRAZAS FC 2015 Boys Black,Next Level Soccer Northwest 2015 Boys Red,4.0,0.0,2024-12-01,Tournaments Powered by Rated Sports ,2024 Desert Super Cup,Reata Sports Complex
BRAZAS FC 2015 Boys Black,Excel Soccer Academy 15 Red,0.0,4.0,2024-11-30,Tournaments Powered by Rated Sports ,2024 Desert Super Cup,Reata Sports Complex
2015 Elite,BRAZAS FC 2015 Boys Black,0.0,2.0,2024-11-30,Tournaments Powered by Rated Sports ,2024 Desert Super Cup,Reata Sports Complex
BRAZAS FC 2015 Boys Black,Yellow ,5.0,1.0,2024-10-27,City of Las Vegas Mayor's Cup ,City of Las Vegas Mayor's Cup International Tournament 2024,James Regional Park
B15 Academy I,BRAZAS FC 2015 Boys Black,0.0,5.0,2024-10-26,City of Las Vegas Mayor's Cup ,City of Las Vegas Mayor's Cup International Tournament 2024,James Regional Park
15 Black DW,BRAZAS FC 2015 Boys Black,0.0,2.0,2024-10-26,City of Las Vegas Mayor's Cup ,City of Las Vegas Mayor's Cup International Tournament 2024,James Regional Park
BRAZAS FC 2015 Boys Black,Legends FC AZ 15B FC,4.0,4.0,2024-10-13,Arsenal Challenge,Arsenal Challenge 2024,Arizona Athletic Grounds (AASC Tournaments)
BRAZAS FC 2015 Boys Black,FCDA 15B Pre - Academy,4.0,2.0,2024-10-13,Arsenal Challenge,Arsenal Challenge 2024,Arizona Athletic Grounds (AASC Tournaments)
15B AChacon Pre-MLS Next,CCV Stars 15 Boys West Pre-ECNL,1.0,6.0,2025-10-05,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
15B AChacon Pre-MLS Next,PRFC Scottsdale 15B Pre-Academy,3.0,0.0,2025-10-04,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
15B AChacon Pre-MLS Next,AZSC 2015B Navy,0.0,0.0,2025-09-27,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,
15B AChacon Pre-MLS Next,U-11 (2015) Boys Pre Academy Blue,0.0,9.0,2025-09-20,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
15B AChacon Pre-MLS Next,CCV Stars 14 Boys South Pre-ECNL,2.0,6.0,2025-09-14,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
14B Velasco,15B AChacon Pre-MLS Next,1.0,2.0,2025-09-13,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
15B AChacon Pre-MLS Next,East Valley NSFC 14 Boys Aguirre,0.0,8.0,2025-09-13,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
15B AChacon Pre-MLS Next,Dynamos SC 15B SC,6.0,0.0,2025-08-31,Phoenix Rising Cup,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
15 Pre-MLS Next Tier #1,15B AChacon Pre-MLS Next,0.0,10.0,2025-08-30,Phoenix Rising Cup,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
CCV Stars 15 Boys North Pre-ECNL,State 48 FC 15 Elite,1.0,1.0,2025-09-28,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
CCV Stars 15 Boys North Pre-ECNL,U-11 (2015) Boys Pre Academy Blue,0.0,0.0,2025-09-27,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,
CCV Stars 15 Boys North Pre-ECNL,Madison FC 15 Gold Boys,6.0,2.0,2025-09-21,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
CCV Stars 15 Boys North Pre-ECNL,PRFC Scottsdale 16B Predator,4.0,3.0,2025-09-19,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
PRFC West Valley 15B Predator,Phoenix Premier FC 15B Black,0.0,0.0,2025-10-11,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Pecos Park (PHX Premier SE/SW)
PRFC Desert Foothills 16B Predator,Phoenix Premier FC 15B Black,5.0,0.0,2025-09-13,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Horseshoe Trails Elementary (PRFC-DF)
AZ Arsenal 16 Boys Teal OC,Phoenix Premier FC 15B Black,4.0,4.0,2025-09-06,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Arizona Athletic Grounds
FDI 2015,Phoenix Premier FC 15B Black,3.0,0.0,2025-04-18,East Valley Spring Invitational,East Valley Spring Invitational 2025,Quail Run Soccer Complex (EV Tournament Series)
EV-NSFC 15 Boys Perez(1),Phoenix Premier FC 15B Black,7.0,1.0,2025-04-17,East Valley Spring Invitational,East Valley Spring Invitational 2025,Quail Run Soccer Complex (EV Tournament Series)
Phoenix Premier FC 15B Black,Select 15B,6.0,0.0,2025-04-16,East Valley Spring Invitational,East Valley Spring Invitational 2025,Quail Run Soccer Complex (EV Tournament Series)
Phoenix Premier FC 15B Black,Santos 15B,0.0,2.0,2025-04-06,CDO Challenge Cup,CDO Challenge Cup 2025,Kino Sports Complex
15B Garza/Bernal-1,Phoenix Premier FC 15B Black,0.0,6.0,2025-04-06,CDO Challenge Cup,CDO Challenge Cup 2025,Kino Sports Complex
15B Garza/Bernal-1,Phoenix Premier FC 15B Black,3.0,5.0,2025-04-05,CDO Challenge Cup,CDO Challenge Cup 2025,Kino Sports Complex
15 Boys Soul Warriors,Phoenix Premier FC 15B Black,0.0,3.0,2025-04-05,CDO Challenge Cup,CDO Challenge Cup 2025,Kino Sports Complex
La Piedad FC 2015,Phoenix Premier FC 15B Black,1.0,8.0,2025-03-23,Copper State Challenge,2025 Copper State Challenge,Arizona Athletic Grounds
Phoenix Premier FC 15B Black,U-10 (2015) Boys Pre Academy,7.0,3.0,2025-03-22,Copper State Challenge,2025 Copper State Challenge,Arizona Athletic Grounds
La Piedad FC 2015,Phoenix Premier FC 15B Black,5.0,1.0,2025-03-22,Copper State Challenge,2025 Copper State Challenge,Arizona Athletic Grounds
Next Level Soccer Southeast 2015 Boys Green,Phoenix Premier FC 15B Black,1.0,5.0,2025-03-21,Copper State Challenge,2025 Copper State Challenge,Arizona Athletic Grounds
Deportivo Coras USA 2015,Phoenix Premier FC 15B Black,0.0,0.0,2025-03-01,Academy League,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
PRFC Scottsdale 15B Copa,Phoenix Premier FC 15B Black,4.0,4.0,2025-02-23,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Next Level Soccer Northwest 2015 Boys Red,Phoenix Premier FC 15B Black,3.0,6.0,2025-02-22,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
PRFC Scottsdale 16B Predator,Phoenix Premier FC 15B Black,5.0,7.0,2025-02-21,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Next Level Soccer Southeast 2015 Boys Green,Phoenix Premier FC 15B Black,5.0,1.0,2025-01-25,AZ Soccer Clash,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
2015 Rush Boys,Phoenix Premier FC 15B Black,5.0,0.0,2025-01-25,AZ Soccer Clash,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
Phoenix Premier FC 15B Black,State 48 FC Verrado 15 White,5.0,1.0,2025-01-24,AZ Soccer Clash,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
AZ Arsenal 15 Boys Teal 1 JZ,Phoenix Premier FC 15B Black,2.0,3.0,2025-01-05,Inside Classic,Inside Classic 2025,Arizona Athletic Grounds (AASC Tournaments)
AZ Arsenal 15 Boys Teal 1 OC,Phoenix Premier FC 15B Black,0.0,5.0,2025-01-04,Inside Classic,Inside Classic 2025,Arizona Athletic Grounds (AASC Tournaments)
AZ Arsenal 15 Boys Teal 2 CC,Phoenix Premier FC 15B Black,16.0,0.0,2025-01-04,Inside Classic,Inside Classic 2025,Arizona Athletic Grounds (AASC Tournaments)
BRUSA FC 2015/16,Phoenix Premier FC 15B Black,0.0,11.0,2025-01-03,Inside Classic,Inside Classic 2025,Arizona Athletic Grounds (AASC Tournaments)
FCDA 15B Pre - Academy,Phoenix Premier FC 15B Black,5.0,8.0,2024-12-08,Salvation Army Christmas Angel,Christmas Angel 2024,Rose Mofford Sports Complex
Phoenix Premier FC 15B Black,Scottsdale 15 Sandsharks Select,1.0,3.0,2024-12-08,Salvation Army Christmas Angel,Christmas Angel 2024,Rose Mofford Sports Complex
Next Level Soccer Southeast 2015 Boys Blue,Phoenix Premier FC 15B Black,8.0,4.0,2024-12-07,Salvation Army Christmas Angel,Christmas Angel 2024,Rose Mofford Sports Complex
Deportivo Coras USA 2015,Phoenix Premier FC 15B Black,5.0,5.0,2024-12-06,Salvation Army Christmas Angel,Christmas Angel 2024,Rose Mofford Sports Complex
PRFC Desert Foothills 15B Predator,Phoenix Premier FC 15B Black,2.0,2.0,2024-11-03,2025 Rush Cup ,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
