Team A,Team B,Score A,Score B,Date,Competition,Venue
Verde Valley United FC,PRFC Desert Foothills 15B Predator,2,3,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
Next Level Soccer Southeast 2014 Boys Green,PRFC Desert Foothills 15B Predator,4,1,2025-02-08,Desert Classic 2025,Arizona Athletic Grounds
PRFC Desert Foothills 15B Predator,Next Level Soccer Southeast 2014 Boys Green,1,4,2025-02-08,Desert Classic 2025,Arizona Athletic Grounds
PRFC Desert Foothills 15B Predator,Next Level Soccer Southeast 2015 Boys Blue,2,5,2025-02-08,Desert Classic 2025,Arizona Athletic Grounds
Next Level Soccer Southeast 2015 Boys Blue,PRFC Desert Foothills 15B Predator,5,2,2025-02-08,Desert Classic 2025,Arizona Athletic Grounds
PRFC Desert Foothills 15B Predator,PRFC West Valley 15B Predator,1,5,2025-02-01,2024-25 MaxinMotion Open League Season 2,Horseshoe Trails Elementary (PRFC-DF)
PRFC West Valley 15B Predator,PRFC Desert Foothills 15B Predator,5,1,2025-02-01,2024-25 MaxinMotion Open League Season 2,Horseshoe Trails Elementary (PRFC-DF)
CCV STARS 15 Boys White PEO,PRFC Desert Foothills 15B Predator,0,4,2025-01-25,2024-25 MaxinMotion Open League Season 2,Stars SC - Peoria  NW - Open League 
PRFC Desert Foothills 15B Predator,CCV STARS 15 Boys White PEO,4,0,2025-01-25,2024-25 MaxinMotion Open League Season 2,Stars SC - Peoria  NW - Open League 
PRFC Desert Foothills 15B Predator,CCV STARS 15 Boys White PEO,4,2,2025-01-18,2024-25 MaxinMotion Open League Season 2,Horseshoe Trails Elementary (PRFC-DF)
CCV STARS 15 Boys White PEO,PRFC Desert Foothills 15B Predator,2,4,2025-01-18,2024-25 MaxinMotion Open League Season 2,Horseshoe Trails Elementary (PRFC-DF)
State 48 FC 14 White,PRFC Desert Foothills 15B Predator,1,2,2025-01-12,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
PRFC Desert Foothills 15B Predator,State 48 FC 14 White,2,1,2025-01-12,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Kingman SC B14 McGill,PRFC Desert Foothills 15B Predator,1,8,2025-01-12,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
PRFC Desert Foothills 15B Predator,Kingman SC B14 McGill,8,1,2025-01-12,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
CCV STARS 14 Boys White PEO,PRFC Desert Foothills 15B Predator,1,3,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
PRFC Desert Foothills 15B Predator,CCV STARS 14 Boys White PEO,3,1,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
PRFC Desert Foothills 15B Predator,Atletico Tuzos Mesa 2014,0,3,2024-12-15,RSL-AZ Holiday Classic 2024,Reach 11 Sports Complex
Atletico Tuzos Mesa 2014,PRFC Desert Foothills 15B Predator,3,0,2024-12-15,RSL-AZ Holiday Classic 2024,Reach 11 Sports Complex
PRFC Desert Foothills 15B Predator,AZSC 15B White,1,1,2024-12-14,RSL-AZ Holiday Classic 2024,Reach 11 Sports Complex
AZSC 15B White,PRFC Desert Foothills 15B Predator,1,1,2024-12-14,RSL-AZ Holiday Classic 2024,Reach 11 Sports Complex
14B Hermanson 1,PRFC Desert Foothills 15B Predator,4,2,2024-12-15,RSL-AZ Holiday Classic 2024,Reach 11 Sports Complex
PRFC Desert Foothills 15B Predator,14B Hermanson 1,2,4,2024-12-15,RSL-AZ Holiday Classic 2024,Reach 11 Sports Complex
Phoenix Premier FC 15B Black,PRFC Desert Foothills 15B Predator,2,2,2024-11-03,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
PRFC Desert Foothills 15B Predator,Phoenix Premier FC 15B Black,2,2,2024-11-03,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
CCV STARS 15 Boys Orange SUR,PRFC Desert Foothills 15B Predator,1,1,2024-11-02,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
PRFC Desert Foothills 15B Predator,CCV STARS 15 Boys Orange SUR,1,1,2024-11-02,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
PRFC Desert Foothills 15B Predator,Tuzos Academy Mesa 2015,1,3,2024-11-02,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
Tuzos Academy Mesa 2015,PRFC Desert Foothills 15B Predator,3,1,2024-11-02,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
PRFC Desert Foothills 15B Predator,2016 Boys (Pena),8,1,2024-10-27,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
2016 Boys (Pena),PRFC Desert Foothills 15B Predator,1,8,2024-10-27,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
PRFC Desert Foothills 15B Predator,PRFC North Valley 15B Predator,4,4,2024-10-26,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
PRFC North Valley 15B Predator,PRFC Desert Foothills 15B Predator,4,4,2024-10-26,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
Brazas 2015 Boys Gold Diego Rangel,PRFC Desert Foothills 15B Predator,1,6,2024-10-26,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
PRFC Desert Foothills 15B Predator,Brazas 2015 Boys Gold Diego Rangel,6,1,2024-10-26,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
PRFC Desert Foothills 16B Predator,15B NJMarkette,2,2,2025-10-11,2025-26 MaxinMotion Open League Season 1,Horseshoe Trails Elementary (PRFC-DF)
15B NJMarkette,PRFC Desert Foothills 16B Predator,2,2,2025-10-11,2025-26 MaxinMotion Open League Season 1,Horseshoe Trails Elementary (PRFC-DF)
15B NJMarkette,AZ Arsenal 16 Boys Teal OC,0,0,2025-10-04,2025-26 MaxinMotion Open League Season 1,Snedigar Sports Complex (RSL- S)
AZ Arsenal 16 Boys Teal OC,15B NJMarkette,0,0,2025-10-04,2025-26 MaxinMotion Open League Season 1,Snedigar Sports Complex (RSL- S)
PRFC West Valley 15B Predator,15B NJMarkette,0,8,2025-09-20,2025-26 MaxinMotion Open League Season 1,Friendship Park (PRFC - WV)
15B NJMarkette,PRFC West Valley 15B Predator,8,0,2025-09-20,2025-26 MaxinMotion Open League Season 1,Friendship Park (PRFC - WV)
15B NJMarkette,Dynamos SC 15B Gold,3,1,2025-09-14,2025 Cactus Kick Off,Reach 11 Sports Complex
Dynamos SC 15B Gold,15B NJMarkette,1,3,2025-09-14,2025 Cactus Kick Off,Reach 11 Sports Complex
15B NJMarkette,16B KChacon,2,1,2025-09-14,2025 Cactus Kick Off,Reach 11 Sports Complex
16B KChacon,15B NJMarkette,1,2,2025-09-14,2025 Cactus Kick Off,Reach 11 Sports Complex
Southeast 2015 Boys Blue,15B NJMarkette,4,2,2025-09-13,2025 Cactus Kick Off,Reach 11 Sports Complex
15B NJMarkette,Southeast 2015 Boys Blue,2,4,2025-09-13,2025 Cactus Kick Off,Reach 11 Sports Complex
15B NJMarkette,NMSA 2015 Boys,1,0,2025-03-23,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
NMSA 2015 Boys,15B NJMarkette,0,1,2025-03-23,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
15B NJMarkette,Next Level Soccer Northwest 2015 Boys Red,0,0,2025-03-22,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
Next Level Soccer Northwest 2015 Boys Red,15B NJMarkette,0,0,2025-03-22,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
FCDA 15B Pre - Academy,15B NJMarkette,4,1,2025-03-21,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
15B NJMarkette,FCDA 15B Pre - Academy,1,4,2025-03-21,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
Tuzos Edwin 2015,15B NJMarkette,3,5,2025-03-09,2025 Ostrich Festival,Reata Sports Complex
15B NJMarkette,Tuzos Edwin 2015,5,3,2025-03-09,2025 Ostrich Festival,Reata Sports Complex
15B NJMarkette,RSLAZ Southern 15B Rayados Blue,2,0,2025-03-08,2025 Ostrich Festival,Reata Sports Complex
RSLAZ Southern 15B Rayados Blue,15B NJMarkette,0,2,2025-03-08,2025 Ostrich Festival,Reata Sports Complex
16B Mendez GSA,15B NJMarkette,5,2,2025-03-08,2025 Ostrich Festival,Reata Sports Complex
15B NJMarkette,16B Mendez GSA,2,5,2025-03-08,2025 Ostrich Festival,Reata Sports Complex
RSL-AZ South 15B Corral,15B NJMarkette,5,4,2025-02-23,2025 Max Shacknai Invitational,Arizona Athletic Grounds
15B NJMarkette,RSL-AZ South 15B Corral,4,5,2025-02-23,2025 Max Shacknai Invitational,Arizona Athletic Grounds
AZ Arsenal 15 Boys Flagstaff,15B NJMarkette,2,8,2025-02-22,2025 Max Shacknai Invitational,Arizona Athletic Grounds
15B NJMarkette,AZ Arsenal 15 Boys Flagstaff,8,2,2025-02-22,2025 Max Shacknai Invitational,Arizona Athletic Grounds
15B NJMarkette,PRFC Scottsdale 15B Samba,6,2,2025-02-22,2025 Max Shacknai Invitational,Arizona Athletic Grounds
PRFC Scottsdale 15B Samba,15B NJMarkette,2,6,2025-02-22,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Prime FC 2015 Boys,15B NJMarkette,8,1,2025-01-19,Fort Lowell Shootout 2025,Tucson Kino Main Complex (ASA)
15B NJMarkette,Prime FC 2015 Boys,1,8,2025-01-19,Fort Lowell Shootout 2025,Tucson Kino Main Complex (ASA)
BVB International Academy - BVB15 - Black,15B NJMarkette,3,3,2025-01-18,Fort Lowell Shootout 2025,Tucson Kino Main Complex (ASA)
15B NJMarkette,BVB International Academy - BVB15 - Black,3,3,2025-01-18,Fort Lowell Shootout 2025,Tucson Kino Main Complex (ASA)
15B NJMarkette,Vanguardia Cougars Hermosillo 2015,3,4,2025-01-18,Fort Lowell Shootout 2025,Tucson Kino Main Complex (ASA)
Vanguardia Cougars Hermosillo 2015,15B NJMarkette,4,3,2025-01-18,Fort Lowell Shootout 2025,Tucson Kino Main Complex (ASA)
15B NJMarkette,EV-NSFC 15 Boys Perez(1),4,1,2024-12-15,RSL-AZ Holiday Classic 2024,
EV-NSFC 15 Boys Perez(1),15B NJMarkette,1,4,2024-12-15,RSL-AZ Holiday Classic 2024,
15B NJMarkette,PRFC Southeast Valley 15B Copa,7,0,2024-12-15,RSL-AZ Holiday Classic 2024,
PRFC Southeast Valley 15B Copa,15B NJMarkette,0,7,2024-12-15,RSL-AZ Holiday Classic 2024,
15B NJMarkette,15B Blue Montoya #1,7,3,2024-12-14,RSL-AZ Holiday Classic 2024,
15B Blue Montoya #1,15B NJMarkette,3,7,2024-12-14,RSL-AZ Holiday Classic 2024,
15B Vyas,15B NJMarkette,2,3,2024-12-15,RSL-AZ Holiday Classic 2024,
15B NJMarkette,15B Vyas,3,2,2024-12-15,RSL-AZ Holiday Classic 2024,
15B NJMarkette,Legends FC AZ 15B FC,0,0,2024-12-01,2024 Desert Super Cup,Reata Sports Complex
Legends FC AZ 15B FC,15B NJMarkette,0,0,2024-12-01,2024 Desert Super Cup,Reata Sports Complex
CCV STARS 15 Boys LAV,15B NJMarkette,0,1,2024-12-01,2024 Desert Super Cup,Reata Sports Complex
15B NJMarkette,CCV STARS 15 Boys LAV,1,0,2024-12-01,2024 Desert Super Cup,Reata Sports Complex
15B NJMarkette,Club Campestre Juárez U10 Azul,0,1,2024-11-30,2024 Desert Super Cup,Reata Sports Complex
Club Campestre Juárez U10 Azul,15B NJMarkette,1,0,2024-11-30,2024 Desert Super Cup,Reata Sports Complex
15B NJMarkette,Legends FC AZ 15B FC,1,4,2024-11-30,2024 Desert Super Cup,Reata Sports Complex
Legends FC AZ 15B FC,15B NJMarkette,4,1,2024-11-30,2024 Desert Super Cup,Reata Sports Complex
Synergy FC 15/16B Montone,East Valley NSFC 15 Boys Klein,14,0,2025-10-04,2025-26 MaxinMotion Open League Season 1,Paseo Verde
East Valley NSFC 15 Boys Klein,Synergy FC 15/16B Montone,0,14,2025-10-04,2025-26 MaxinMotion Open League Season 1,Paseo Verde
Synergy FC 15/16B Montone,BRAZAS FC 2015 Boys White,3,0,2025-09-20,2025-26 MaxinMotion Open League Season 1,Paseo Verde
BRAZAS FC 2015 Boys White,Synergy FC 15/16B Montone,0,3,2025-09-20,2025-26 MaxinMotion Open League Season 1,Paseo Verde
Synergy FC 15/16B Montone,15B Overlin,5,3,2025-09-14,2025 Cactus Kick Off,Reach 11 Sports Complex
15B Overlin,Synergy FC 15/16B Montone,3,5,2025-09-14,2025 Cactus Kick Off,Reach 11 Sports Complex
15B IGerman,Synergy FC 15/16B Montone,0,4,2025-09-13,2025 Cactus Kick Off,Reach 11 Sports Complex
Synergy FC 15/16B Montone,15B IGerman,4,0,2025-09-13,2025 Cactus Kick Off,Reach 11 Sports Complex
Synergy FC 15/16B Montone,AZ Arsenal 15 Boys Teal CE,2,4,2025-09-13,2025 Cactus Kick Off,Reach 11 Sports Complex
AZ Arsenal 15 Boys Teal CE,Synergy FC 15/16B Montone,4,2,2025-09-13,2025 Cactus Kick Off,Reach 11 Sports Complex
Synergy FC 15/16B Montone,AZSC 2015B White,2,2,2025-09-01,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
AZSC 2015B White,Synergy FC 15/16B Montone,2,2,2025-09-01,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Synergy FC 15/16B Montone,2015 Rush Boys,2,1,2025-08-31,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
2015 Rush Boys,Synergy FC 15/16B Montone,1,2,2025-08-31,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
PRFC Scottsdale 15B Copa,Synergy FC 15/16B Montone,2,4,2025-08-30,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Synergy FC 15/16B Montone,PRFC Scottsdale 15B Copa,4,2,2025-08-30,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Synergy FC 15/16B Montone,AZEV B2015 (NAVY),7,0,2025-08-30,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
AZEV B2015 (NAVY),Synergy FC 15/16B Montone,0,7,2025-08-30,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Scottsdale 15 Sandsharks Black,Synergy FC 15/16B,1,0,2025-04-06,Yavapai All Boys Tournament 2025,P- Mountain Valley Park Yavapai Soccer
Synergy FC 15/16B,Scottsdale 15 Sandsharks Black,0,1,2025-04-06,Yavapai All Boys Tournament 2025,P- Mountain Valley Park Yavapai Soccer
AZ Thundercats 2015,Synergy FC 15/16B,5,1,2025-04-05,Yavapai All Boys Tournament 2025,P- Antelope Park
Synergy FC 15/16B,AZ Thundercats 2015,1,5,2025-04-05,Yavapai All Boys Tournament 2025,P- Antelope Park
Synergy FC 15/16B,Dorados Reserve 2015,3,2,2025-04-06,Yavapai All Boys Tournament 2025,P- Mountain Valley Park Yavapai Soccer
Dorados Reserve 2015,Synergy FC 15/16B,2,3,2025-04-06,Yavapai All Boys Tournament 2025,P- Mountain Valley Park Yavapai Soccer
Synergy FC 15/16B,AZSC 15B Gold,0,0,2025-03-29,2024-25 Academy Event March 29 - BOYS & GIRLS 7v7,Arizona Athletic Grounds
AZSC 15B Gold,Synergy FC 15/16B,0,0,2025-03-29,2024-25 Academy Event March 29 - BOYS & GIRLS 7v7,Arizona Athletic Grounds
Synergy FC 15/16B,ESC 2016,0,0,2025-03-29,2024-25 Academy Event March 29 - BOYS & GIRLS 7v7,Arizona Athletic Grounds
ESC 2016,Synergy FC 15/16B,0,0,2025-03-29,2024-25 Academy Event March 29 - BOYS & GIRLS 7v7,Arizona Athletic Grounds
Players 15 Boys Junior Academy,Synergy FC 15/16B,3,0,2025-03-22,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
Synergy FC 15/16B,Players 15 Boys Junior Academy,0,3,2025-03-22,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
2015 Boys Blue,Synergy FC 15/16B,1,1,2025-03-22,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
Synergy FC 15/16B,2015 Boys Blue,1,1,2025-03-22,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
Synergy FC 15/16B,15B Campos,4,0,2025-03-21,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
15B Campos,Synergy FC 15/16B,0,4,2025-03-21,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
Brazas 2015 Boys White Diego Lopez,Synergy FC 15/16B,0,0,2025-03-01,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
Synergy FC 15/16B,Brazas 2015 Boys White Diego Lopez,0,0,2025-03-01,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
Synergy FC 15/16B,AZ Inferno 15 Boys Black,0,0,2025-03-01,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
AZ Inferno 15 Boys Black,Synergy FC 15/16B,0,0,2025-03-01,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
Synergy FC 15/16B,Madison FC 2015 Boys Blue,2,1,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
Madison FC 2015 Boys Blue,Synergy FC 15/16B,1,2,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
Select 15B,Synergy FC 15/16B,1,10,2025-02-08,Desert Classic 2025,Arizona Athletic Grounds
Synergy FC 15/16B,Select 15B,10,1,2025-02-08,Desert Classic 2025,Arizona Athletic Grounds
Synergy FC 15/16B,Vegas United ‘15 Boys Academy,6,3,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
Vegas United ‘15 Boys Academy,Synergy FC 15/16B,3,6,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
Phoenix 15/16B Blue,Synergy FC 15/16B,4,2,2025-02-08,Desert Classic 2025,Arizona Athletic Grounds
Synergy FC 15/16B,Phoenix 15/16B Blue,2,4,2025-02-08,Desert Classic 2025,Arizona Athletic Grounds
Synergy FC 15/16B,West Valley 2015 Boys Rose,0,5,2025-01-19,2025 Rated Cup,Reach 11 Sports Complex 
West Valley 2015 Boys Rose,Synergy FC 15/16B,5,0,2025-01-19,2025 Rated Cup,Reach 11 Sports Complex 
West Valley 2015 Boys Valencia Pre-Elite 64,Synergy FC 15/16B,2,0,2025-01-18,2025 Rated Cup,Reach 11 Sports Complex 
Synergy FC 15/16B,West Valley 2015 Boys Valencia Pre-Elite 64,0,2,2025-01-18,2025 Rated Cup,Reach 11 Sports Complex 
State 48 FC Verrado 15/16 Black,Synergy FC 15/16B,4,1,2025-01-18,2025 Rated Cup,Reach 11 Sports Complex 
Synergy FC 15/16B,State 48 FC Verrado 15/16 Black,1,4,2025-01-18,2025 Rated Cup,Reach 11 Sports Complex 
Scottsdale 15 Sandsharks Black,Synergy FC 15/16B,1,0,2025-01-12,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Synergy FC 15/16B,Scottsdale 15 Sandsharks Black,0,1,2025-01-12,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Synergy FC 15/16B,U-10 (2015) Boys Pre Academy,2,5,2025-01-12,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
U-10 (2015) Boys Pre Academy,Synergy FC 15/16B,5,2,2025-01-12,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
AZSC 15B Gold,Synergy FC 15/16B,4,7,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Synergy FC 15/16B,AZSC 15B Gold,7,4,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Synergy FC 15/16B,15 Boys Navy,1,12,2024-12-14,TFC Winter Festival 2024,Rose Mofford
15 Boys Navy,Synergy FC 15/16B,12,1,2024-12-14,TFC Winter Festival 2024,Rose Mofford
Synergy FC 15/16B,2015 Boys Blue,4,2,2024-12-14,TFC Winter Festival 2024,Rose Mofford
2015 Boys Blue,Synergy FC 15/16B,2,4,2024-12-14,TFC Winter Festival 2024,Rose Mofford
Chelsea 15B,Synergy FC 15/16B,8,1,2024-12-14,TFC Winter Festival 2024,Rose Mofford
Synergy FC 15/16B,Chelsea 15B,1,8,2024-12-14,TFC Winter Festival 2024,Rose Mofford
Sun Warriors 15/16 Boys,Synergy FC 15/16B,1,16,2024-12-08,Christmas Angel 2024,Rose Mofford Sports Complex
Synergy FC 15/16B,Sun Warriors 15/16 Boys,16,1,2024-12-08,Christmas Angel 2024,Rose Mofford Sports Complex
Synergy FC 15/16B,Phoenix 15/16B Blue,5,7,2024-12-08,Christmas Angel 2024,Rose Mofford Sports Complex
Phoenix 15/16B Blue,Synergy FC 15/16B,7,5,2024-12-08,Christmas Angel 2024,Rose Mofford Sports Complex
Synergy FC 15/16B,FC Deportivo AZ 2015B (Gallegos),3,0,2024-12-07,Christmas Angel 2024,Rose Mofford Sports Complex
FC Deportivo AZ 2015B (Gallegos),Synergy FC 15/16B,0,3,2024-12-07,Christmas Angel 2024,Rose Mofford Sports Complex
Flagstaff Revolution 2015 Boys,Synergy FC 15/16B,2,3,2024-12-07,Christmas Angel 2024,Rose Mofford Sports Complex
Synergy FC 15/16B,Flagstaff Revolution 2015 Boys,3,2,2024-12-07,Christmas Angel 2024,Rose Mofford Sports Complex
PRFC West Valley 15B Samba,Synergy FC 15/16B,1,4,2024-11-10,Kick for the Cure 2024,Rose Mofford Sports Complex
Synergy FC 15/16B,PRFC West Valley 15B Samba,4,1,2024-11-10,Kick for the Cure 2024,Rose Mofford Sports Complex
PSG 15B Blue,Synergy FC 15/16B,5,0,2024-11-10,Kick for the Cure 2024,Rose Mofford Sports Complex
Synergy FC 15/16B,PSG 15B Blue,0,5,2024-11-10,Kick for the Cure 2024,Rose Mofford Sports Complex
AZ Arsenal 15 Boys Flagstaff,Synergy FC 15/16B,5,5,2024-11-09,Kick for the Cure 2024,Rose Mofford Sports Complex
Synergy FC 15/16B,AZ Arsenal 15 Boys Flagstaff,5,5,2024-11-09,Kick for the Cure 2024,Rose Mofford Sports Complex
Synergy FC 15/16B,PSG 15B Blue,1,9,2024-11-09,Kick for the Cure 2024,Rose Mofford Sports Complex
PSG 15B Blue,Synergy FC 15/16B,9,1,2024-11-09,Kick for the Cure 2024,Rose Mofford Sports Complex
Vegas United ‘15 Boys Academy,Synergy FC 15/16B,3,2,2024-11-03,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
Synergy FC 15/16B,Vegas United ‘15 Boys Academy,2,3,2024-11-03,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
Playmaker Futbol Academy 15B Black,Synergy FC 15/16B,0,4,2024-11-02,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
Synergy FC 15/16B,Playmaker Futbol Academy 15B Black,4,0,2024-11-02,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
Synergy FC 15/16B,South Valley Soccer Club Scorpions,1,3,2024-11-02,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
South Valley Soccer Club Scorpions,Synergy FC 15/16B,3,1,2024-11-02,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
Synergy FC 15/16B,State 48 FC 15 Black,1,1,2024-10-13,2024 Scottsdale Cup,Rose Mofford Sports Complex
State 48 FC 15 Black,Synergy FC 15/16B,1,1,2024-10-13,2024 Scottsdale Cup,Rose Mofford Sports Complex
Synergy FC 15/16B,CCV STARS 15 Boys Red PEO,2,1,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
CCV STARS 15 Boys Red PEO,Synergy FC 15/16B,1,2,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
West Valley 2015 Boys Rose,Synergy FC 15/16B,5,0,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
Synergy FC 15/16B,West Valley 2015 Boys Rose,0,5,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
U-11 (2015) Boys Pre Academy Blue,Dynamos SC 15B SC,2,3,2025-10-05,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
Dynamos SC 15B SC,U-11 (2015) Boys Pre Academy Blue,3,2,2025-10-05,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
PRFC Scottsdale 15B Pre-Academy,Dynamos SC 15B SC,6,2,2025-10-04,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
Dynamos SC 15B SC,PRFC Scottsdale 15B Pre-Academy,2,6,2025-10-04,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
PRFC Scottsdale 16B Predator,Dynamos SC 15B SC,4,3,2025-09-28,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
Dynamos SC 15B SC,PRFC Scottsdale 16B Predator,3,4,2025-09-28,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
CCV Stars 15 Boys West Pre-ECNL,Dynamos SC 15B SC,1,5,2025-09-21,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
Dynamos SC 15B SC,CCV Stars 15 Boys West Pre-ECNL,5,1,2025-09-21,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
Dynamos SC 15B SC,AZSC 2015B Navy,2,4,2025-09-20,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
AZSC 2015B Navy,Dynamos SC 15B SC,4,2,2025-09-20,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
Northwest 2015 Boys Black,Dynamos SC 15B SC,5,2,2025-09-07,Tuzos Challenge 2025,West Valley Events Complex - Field
Dynamos SC 15B SC,Northwest 2015 Boys Black,2,5,2025-09-07,Tuzos Challenge 2025,West Valley Events Complex - Field
U-11 (2015) Boys Pre Academy Blue,Dynamos SC 15B SC,2,2,2025-09-06,Tuzos Challenge 2025,West Valley Events Complex - Field
Dynamos SC 15B SC,U-11 (2015) Boys Pre Academy Blue,2,2,2025-09-06,Tuzos Challenge 2025,West Valley Events Complex - Field
Dynamos SC 15B SC,SC Del Sol San Luis,1,0,2025-09-06,Tuzos Challenge 2025,West Valley Events Complex - Field
SC Del Sol San Luis,Dynamos SC 15B SC,0,1,2025-09-06,Tuzos Challenge 2025,West Valley Events Complex - Field
15B AChacon Pre-MLS Next,Dynamos SC 15B SC,6,0,2025-08-31,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Dynamos SC 15B SC,15B AChacon Pre-MLS Next,0,6,2025-08-31,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Dynamos SC 15B SC,AZSC 2015B Navy,4,2,2025-08-30,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
AZSC 2015B Navy,Dynamos SC 15B SC,2,4,2025-08-30,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
PRFC Scottsdale 15B Pre-Academy,Dynamos SC 15B SC,4,2,2025-08-30,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Dynamos SC 15B SC,PRFC Scottsdale 15B Pre-Academy,2,4,2025-08-30,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
15B NJMarkette,Legends FC AZ 15B FC,0,0,2024-12-01,2024 Desert Super Cup,Reata Sports Complex
Legends FC AZ 15B FC,15B NJMarkette,0,0,2024-12-01,2024 Desert Super Cup,Reata Sports Complex
Fury FC B2015,Legends FC AZ 15B FC,0,3,2024-12-01,2024 Desert Super Cup,Reata Sports Complex
