team_id,display_name,club,state,state_code
6b665fd6e68b,JOGA B15,Joga Bonito (CA),California,CA
87641538e117,AAYSA Golden Tiger 15B Team,Ace Athletics Youth Soccer Academy,California,CA
e7188e2b4997,Natomas FA 15B Academy,Natomas FA,California,CA
e5104f1d7d8d,FA Euro Bridgeview 2015 Academy II,FA Euro New York,California,CA
4403975f417c,2015 Boys Red,SABR - Team Boca,California,CA
8af1b0c2246f,MSC 2015 Boys,Muscatine Soccer Club,California,CA
8edb6cb78372,Boca United Boys 2015 PA II,Greater Boca YSA,California,CA
889b95935c91,2015 White Colo Colo,Colo Colo Soccer Academy USA,California,CA
ebbe8429d6ca,SD Surf Academy Boys 2015 (Whitmer),San Diego Surf Soccer Club,California,CA
f62a03f92c02,BRYC Academy '15B White,Braddock Road Youth Club,California,CA
a92ba643a5c2,2015B Academy Gold Tropics,Florida Tropics Academy,California,CA
008d9dccfead,S.S.A15B Black,Spann Soccer Academy,California,CA
