team_name,club_name,gotsport_team_id,state
15B Pre-ECNL RL,Clovis Crossfire ,386254,CAN
Strikers FC - Irvine - 2015 Flight One,,672023,CAS
Attack B2015,South Shore Futbol Club,273569,NYE
PV United 15B,Pajaro Valley Youth Soccer Club,389613,CAN
Takoma Dreamers Corintias 2015,Takoma Park Soccer Club,68493,MD
Supra United FC 2015 Black,Supra United FC,170151,TXN
B15E R.Arredondo,Magnifico FC,624438,NV
Potomac Pre ECNL I 15B,Potomac Soccer Association,373548,MD
Elk Grove United SC 15B Premier JM,Elk Grove United SC,231869,CAN
FPFC 15B TRP REGIONAL,Florida Premier FC,495650,FL
Legends SC 15B-A,Legends SC Sacramento,385899,CAN
Solar PRE-ECNL B15 Oglesby,Solar SC,198017,TXN
TFA-OC B2015,TOTAL FUTBOL ACADEMY (CA),496742,CAS
Texas Select 2015,Texas Select FC,574661,TXS
15B Black,Sacramento United,369963,CAN
Chargers TPA B2015 Academy Yellow,Chargers SC TPA,270630,FL
Mustang SC Man City 15M,Mustang Soccer,373639,CAN
Valley United 15B White,Scotts Valley San Lorenzo Valley Youth Soccer Club,236552,CAN
B15 Academy I,ALBION SC Silicon Valley,587788,CAN
WSA South Arsenal 2015B,West Side Alliance SC,11924,OK
ALL STARS 2015,Miami Stars Soccer,387415,FL
Diablo Valley FC 15B Delta,Diablo Valley Futbol Club,385590,CAN
Storm B2015,Foothill Storm,359818,CAS
15B DGerman,RSL-AZ North,80240,AZ
VSA 15B Pre-ECNL I VDA West,Virginia Soccer Association,391613,VA
Bergen 2015 Boys NEAL White,Cedar Stars Academy North,239125,NJ
15B Rayados Blue,RSL-AZ Southern AZ,546436,AZ
15B EA,Sand and Surf SC,212307,CAS
UC Premier 2015B Red,UC Premier,373499,CAN
2015B Pre-MLS White,West Florida Flames,249531,FL
South Valley United B15 White,South Valley United Soccer Club,246094,CAN
Baltimore Bays Bolts 2015 Boys,Baltimore Bays Soccer Club,504005,MD
SD Surf Academy Boys 2015 (Miller),,475563,CAS
CLUB ALIANZA2015 COACHELLA VALLEY,,363201,CAS
2015 Boys Blue,Earthquakes - East Valley,387536,CAN
McLean Youth Soccer 2015 Boys Green,McLean YS,371351,VA
Elite Green 15,Granite Bay FC,247857,CAN
Kickers FC PRE-NPL,Kickers FC,339160,CAS
B2015 Wolverines,Port Washington Soccer Club,394411,NYE
Inglewood sc B2015,Inglewood SC,604437,CAS
RAYADOS LAS VEGAS SOCCER ACADEMY 2015 WHITE,Rayados Las Vegas Soccer Academy,522853,NV
2015B Pre-MLS 2,Bay Area Surf,517646,CAN
California Rush B15 Nero - Huntington Beach,California Rush Soccer Club,364929,CAS
Pflugerville Rayados 2015,Mortega SC,396897,TXS
15B Jason Pre MLS Next,RSL-AZ Southern AZ,558242,AZ
Wall Elite Lazio,Wall Soccer Club,268422,NJ
BUSC 2015 Premier,Ballistic United,377854,CAN
SGA 15/16B Premier,SGA,537655,TXS
SASA Spirits 2015B 1984,SASA Spirits SC,181732,IL
CDO 15B Premier,Canyon Del Oro Soccer Club,284382,AZ
CCV Stars 15 Boys South Pre-ECNL,CCV STARS,259054,AZ
ALBION SC San Diego B15 Academy,ALBION SC San Diego,137723,CAS
SLSG IL B 2015 Academy Red,St. Louis Scott Gallagher,381093,IL
GOTFC 2015 Elite,Miami Athletic Club,448896,FL
Walnut Creek Surf 15B White,Walnut Creek Surf Soccer Club,258947,CAN
EJE7 2015,EJE7 ,482543,FL
Cobras El Paso 2015,El Paso Premier League,166540,TXS
Weston FC 2015 Boys White,Weston FC,263379,FL
TFA-SELA B2015 White,TOTAL FUTBOL ACADEMY (CA),480645,CAS
Cal Magic 2015B East,California Magic Soccer Club,287404,CAN
Napoli Gold,Huntington Inter FC ,381824,NYE
Alex 2015 Boys White,Alexandria SA,389339,VA
Mellindo FC 2015 A,,536269,UT
Dynamos SC 15B Gold,Dynamos SC,152078,AZ
15B FPFC PRE-ECNL II,Florida Premier FC,495937,FL
Lightning 15 Teal,San Juan Soccer Club,338035,CAN
Lancaster FC 2015 Boys Academy,Lancaster FC,494274,PAE
15B White,Sacramento United,250871,CAN
SWFL Soccer Academy 2015-2016,SWFL Soccer Academy,432361,FL
Little Knights,North Bay Premier Club,397566,CAN
Players 15 Boys Academy,Players SC,285320,NV
VV FC 15B Kit,,397838,TXN
White Conshy '15 (B),FC DELCO,230796,PAE
Davis Legacy 15B White,Davis Legacy Soccer Club,364752,CAN
Indiana Elite FC Pre - ECNL B15,Indiana Elite F.C.,110466,IN
Diablo Valley FC 15B Delta 2,Diablo Valley Futbol Club,372193,CAN
WP Academy National 2015,White Plains YS,283381,NYE
EM B15 EDP,East Meadow Soccer Club,450907,NYE
Mineola 2015 Red,Mineola (LIJSL),397092,NYE
SC Pro Soccer Academy 2015B Team 1,SC Pro Soccer,537929,CAN
Weston FC 2015 Future Elite III,Weston FC,482592,FL
Palo Alto SC 15B Pre-MLS NEXT,Palo Alto SC,206978,CAN
Tuzos USA 2015A,FBSL,220089,AZ
Florida Fire West Pines United 2015 Black,West Pines United FC,309515,FL
2015 BOYS ECNL DEV 1,Sporting Jax Soccer Academy,246657,FL
AZSC 2015B White,Arizona Soccer Club,80005,AZ
Solar Pre ECNL B15 Rodriguez Red,Solar SC,398024,TXN
24 APSC 2015B Arsenal,Arden Park Soccer Club,490384,CAN
Alex 2015 Boys Red,Alexandria SA,389337,VA
San Ramon FC 15B Pre ECNL-RL,San Ramon FC,328994,CAN
Rocklin FC 15B White,Rocklin FC,336249,CAN
WYO 307 2015 Boys,Wyoming Soccer Association,524461,WY
RENO MINEROS,Northern Nevada Soccer Club ,523975,NV
Burlingame SC 2015B Black,Burlingame Soccer Club,331135,CAN
SD Surf Academy Boys 2015 (Penate),San Diego Surf Soccer Club,475560,CAS
Pittsburgh Riverhounds Academy North Huntingdon 2015 Boys,Pittsburgh Riverhounds,521142,PAW
2015 Boys Red,Clippers FC,244969,CAN
Deportivo Cali Pembroke 2015 Mafla,Miami Stars Soccer,557369,FL
East Valley NSFC 15 Boys Tiggs,East Valley/NSFC,78766,AZ
KBSC Elite 2015,Key Biscayne SC,251116,FL
Deportivo Coras USA 2015,FBSL,178607,AZ
PHENOM B2015II,Phenom Soccer Academy,480627,CAS
Greenhaven SC 15B,Greenhaven Soccer Club,371822,CAN
West Valley 2015 Boys Rose,RSL-AZ West Valley,444284,AZ
Sporting Columbia 15B Navy,Sporting Columbia SC,257880,MO
Blast 2015,Auburndale SC ,256073,NYE
ONE FC B2015 BLUE,NEUESPORTS,417114,FL
B15 EA,Inland Surf,243407,CAS
Pre MLS NEXT Black '15,FC DELCO,600493,PAE
Florida Royal FC 2015 Division 1 Elite,Florida Royal FC,610560,FL
Parkland SC Elite B15,Parkland Soccer Club,385431,FL
FPFC 15B WC REGIONAL,Florida Premier FC,366689,FL
Fuego FC 2015,Fuego FC,398022,TXN
Future_Sa_15_Blue,Future Soccer Academy,151712,NJ
CFA OC SC B15 Pre NPL Goicochea,California Football Academy,338004,CAS
Towson United 2015B Maroon,Towson United,313759,MD
HYSL Premier Elite 15B Blue,Hayward Youth Soccer League,494348,CAN
Sporting CA USA Pre-ECNL B15 I,Sporting California USA,488302,CAS
APSC 2015B Arsenal,Arden Park Soccer Club,606280,CAN
B2015 (Ultra),Atlantic United SB/LGN SC,381990,NYE
Madera United FC 15B Zapata,Madera United Futbol Club,362088,CAN
VE 2015 White,Vereinigung Erzgebirge SC ,499247,PAE
NMSA 2015 Boys,New Mexico Soccer Academy,420137,NM
Nona Soccer 2015 Boys Black,Nona Soccer Academy,235569,FL
SG1 STXCL EC B15,SG1 Soccer,145803,TXS
2015B Pre-ECNL,West-Mont United S.A,267193,PAE
ABSC Lightning Thunder 2015B,Albany Berkeley Soccer Club,427080,CAN
15B Pre-Elite I,Colorado Rapids Youth Soccer Club,277584,CO
Real POB,Plainview Old Bethpage (LIJSL),508140,NYE
Madison FC 15 Gold Boys,Madison FC,253825,AZ
KH PreElite Swan City B15-1,Kings Hammer Swan City Soccer Club,369579,FL
S5A KENDALL U11 BLACK,Soccer 5 Academy ,546389,FL
COSC Pre-ECNL B15 I,California Odyssey Soccer Club,368890,CAN
15 Pre-MLS Next #2,FC Tucson Youth Soccer,304060,AZ
