Team Name,Club,Team ID,Points,Wins,Losses,Ties,Games Played,Rank,State,Region,Win Percentage,State Rank,Regional Rank,Goal Ratio,Team URL,Last Activity,Gender,Age Group
2014 Boys Blue,Thunderbird FC,385776,992,7,12,5,24,2108,AZ,4,0.2916666666666667,119,700,0.7162162162162162,https://rankings.gotsport.com/teams/385776,2025-10-08,M,U12
FC Elite Arizona 2014 Boys - Urbina,FC Elite Arizona,631457,952,3,4,2,9,2182,AZ,4,0.3333333333333333,120,720,0.42857142857142855,https://rankings.gotsport.com/teams/631457,2025-10-08,M,U12
Tuzos Titanes 2014,FBSL,519547,952,7,15,2,24,2182,AZ,4,0.2916666666666667,120,720,0.42857142857142855,https://rankings.gotsport.com/teams/519547,2025-10-08,M,U12
Select 14B Red,AZFC ,497273,850,9,23,3,35,2390,AZ,4,0.2571428571428571,122,772,0.7282608695652174,https://rankings.gotsport.com/teams/497273,2025-10-08,M,U12
14B Felix Nogales,RSL-AZ Southern AZ,552776,849,7,9,3,19,2394,AZ,4,0.3684210526315789,123,775,0.8035714285714286,https://rankings.gotsport.com/teams/552776,2025-10-08,M,U12
2014/15 Boys (Pena),OJB FC,400441,802,7,11,1,19,2488,AZ,4,0.3684210526315789,124,799,0.72,https://rankings.gotsport.com/teams/400441,2025-10-08,M,U12
VSC 2014 Boys White,Vail SC,305500,746,8,16,1,25,2641,AZ,4,0.32,125,840,0.7903225806451613,https://rankings.gotsport.com/teams/305500,2025-10-08,M,U12
Synergy FC 14 B,Synergy FC AZ,371140,723,4,26,5,35,2712,AZ,4,0.11428571428571428,126,858,0.3373493975903614,https://rankings.gotsport.com/teams/371140,2025-10-08,M,U12
PRFC North Valley 14B Copa,Phoenix Rising FC North Valley,405148,687,5,23,1,29,2828,AZ,4,0.1724137931034483,127,883,0.3785310734463277,https://rankings.gotsport.com/teams/405148,2025-10-08,M,U12
Hustle Hard 2014- Boys,FBSL,310009,660,3,19,3,25,2921,AZ,4,0.12,128,911,0.2204724409448819,https://rankings.gotsport.com/teams/310009,2025-10-08,M,U12
FSC United 14 Boys,Flagstaff SC,121797,657,10,31,2,43,2936,AZ,4,0.23255813953488372,129,915,0.44166666666666665,https://rankings.gotsport.com/teams/121797,2025-10-08,M,U12
Excel Soccer Academy 14 White,Excel Soccer Academy,496643,513,2,7,1,10,3472,AZ,4,0.2,130,1043,0.3137254901960784,https://rankings.gotsport.com/teams/496643,2025-10-08,M,U12
14B Blue #2,FC Tucson Youth Soccer,515153,511,2,19,2,23,3484,AZ,4,0.08695652173913043,131,1046,0.17073170731707318,https://rankings.gotsport.com/teams/515153,2025-10-08,M,U12
PRFC Scottsdale 14B Copa,Phoenix Rising FC,179070,500,6,22,2,30,3536,AZ,4,0.2,132,1056,0.4785276073619632,https://rankings.gotsport.com/teams/179070,2025-10-08,M,U12
State 48 FC 14 Archive,State 48 FC,198567,495,5,5,1,11,3565,AZ,4,0.45454545454545453,133,1067,1.4090909090909092,https://rankings.gotsport.com/teams/198567,2025-10-08,M,U12
Pumas Tucson 14B,Renegades Soccer Club,450534,426,3,1,0,4,3922,AZ,4,0.75,134,1151,1.5714285714285714,https://rankings.gotsport.com/teams/450534,2025-10-08,M,U12
