Team Name,Is Arizona,Gender,Total Games,Wins,Losses,Ties,Win Percentage,First Game,Last Game
PRFC Scottsdale 15B Predator,False,M,9,4,4,1,44.44444444444444,2025-01-10,2025-04-26
PRFC West Valley 15B Predator,False,M,9,3,5,1,33.33333333333333,2024-12-13,2025-04-13
Santos 15B,False,M,9,0,9,0,0.0,2025-01-25,2025-05-25
Madison FC 2015 Boys Gold,False,M,8,1,6,1,12.5,2025-02-08,2025-04-27
XOLOS ARIZONA 2014B,False,M,8,5,2,1,62.5,2025-03-29,2025-10-04
Pima Surf Academy Boys 15,False,M,8,3,4,1,37.5,2025-02-15,2025-05-25
NOS Santos 15 Boys Blue,False,M,8,2,6,0,25.0,2024-12-06,2025-04-19
Phoenix United 14 Elite,False,M,8,6,1,1,75.0,2025-02-14,2025-04-13
Next Level Soccer Northwest 2015 Boys Red,False,M,8,3,5,0,37.5,2025-03-15,2025-04-27
Juventus,False,M,7,1,5,1,14.285714285714285,2024-04-20,2025-05-24
Southeast 2015 Boys Red,False,M,7,6,1,0,85.71428571428571,2025-09-12,2025-09-28
Chelsea 13B,False,M,7,2,5,0,28.57142857142857,2024-04-20,2025-09-21
PRFC North Valley 13B Predator,False,M,6,1,5,0,16.666666666666664,2024-04-28,2025-09-06
15B AChacon Pre-MLS Next,False,M,6,5,0,1,83.33333333333334,2025-08-29,2025-09-28
BRAZAS FC 2014 Boys Black,False,M,5,4,1,0,80.0,2025-09-06,2025-09-27
PSG 15B Blue,False,M,5,2,1,2,40.0,2024-09-27,2025-04-12
PRFC North Valley 15B Copa,False,M,5,1,4,0,20.0,2024-11-02,2025-04-12
AZVV B2014 (NAVY),False,M,5,4,1,0,80.0,2025-09-06,2025-10-04
Sun Warriors 13/14 Boys,False,M,5,2,3,0,40.0,2024-04-27,2025-09-14
Pima Surf 2014 B,False,M,5,1,3,1,20.0,2025-09-19,2025-10-05
El Paso Football Club U11 BLUE,False,M,4,3,1,0,75.0,2025-04-12,2025-04-13
AZ Arsenal 13 Boys Flagstaff,False,M,4,1,2,1,25.0,2024-10-12,2025-09-06
B2014,False,M,4,3,0,1,75.0,2024-08-10,2025-08-17
PRFC North Valley 13B PreAcademy,False,M,4,2,2,0,50.0,2024-08-30,2025-04-27
13 Boys Navy,False,M,4,1,3,0,25.0,2024-04-28,2025-05-25
Las Vegas Sports Academy U12 Boys Black 2014,False,M,4,3,1,0,75.0,2025-09-13,2025-09-14
13B Flores,False,M,4,4,0,0,100.0,2024-09-14,2025-04-13
FC ARIZONA 13 GFC CUEVAS,False,M,3,2,1,0,66.66666666666666,2024-10-13,2025-04-27
PSG 14B Red,False,M,3,2,1,0,66.66666666666666,2025-09-06,2025-10-04
Schneider Futsal Academy 2015,False,M,3,3,0,0,100.0,2025-07-07,2025-07-28
PRFC Southeast Valley 13B Predator,False,M,3,0,3,0,0.0,2024-04-21,2025-04-12
CDO 13B Elite,False,M,3,1,2,0,33.33333333333333,2024-10-05,2025-04-27
AZSC 2015B White,False,M,3,2,1,0,66.66666666666666,2025-07-07,2025-07-28
REAL AZ,False,M,3,3,0,0,100.0,2025-07-19,2025-07-20
Atletico Tuzos Guerrero 2014,False,M,3,0,2,1,0.0,2025-09-06,2025-09-07
U-12 (2014) Boys Pre Academy Orange,False,M,3,1,2,0,33.33333333333333,2025-09-13,2025-10-04
Amore 2013 Boys,False,M,3,1,2,0,33.33333333333333,2024-11-10,2025-08-30
Playmaker Futbol Academy North 14B,False,M,3,3,0,0,100.0,2025-09-13,2025-10-04
15B Oscar,False,M,3,0,3,0,0.0,2025-09-19,2025-09-20
14B Rayados Blue,False,M,3,0,1,2,0.0,2025-09-21,2025-10-05
Rey Del Castillo FC Black,False,M,3,1,2,0,33.33333333333333,2025-09-06,2025-09-27
Scottsdale 13 Sandsharks Select,False,M,3,2,1,0,66.66666666666666,2024-09-14,2025-04-25
Las Vegas Sports Academy U12 Boys Pre MLS Next 2014,False,M,3,1,2,0,33.33333333333333,2025-09-13,2025-09-14
B2014 Academy,False,M,3,1,1,1,33.33333333333333,2024-08-31,2025-08-23
State 48 FC Avondale 13 Copper,False,M,3,2,0,1,66.66666666666666,2025-09-26,2025-09-28
Havasu Lions FC 14B Castillo,False,M,3,1,2,0,33.33333333333333,2025-09-06,2025-09-20
Phoenix Premier FC 15B Black,False,M,3,1,2,0,33.33333333333333,2025-01-05,2025-09-27
BRAZAS FC 2014 Boys Gold,False,M,3,0,2,1,0.0,2025-09-13,2025-10-04
Southeast 2013 Boys Green,False,M,3,2,1,0,66.66666666666666,2025-09-27,2025-09-28
Phoenix Premier FC 14B Pre MLS AD,False,M,3,1,2,0,33.33333333333333,2025-08-29,2025-08-31
B2014 Yee,False,M,2,2,0,0,100.0,2025-05-17,2025-05-18
14B Hermanson,False,M,2,0,2,0,0.0,2025-10-04,2025-10-04
AZSC 2015B Navy,False,M,2,2,0,0,100.0,2025-07-07,2025-07-21
Las Vegas Sports Academy U11 Boys Black 2014,False,M,2,0,2,0,0.0,2025-04-12,2025-04-12
FC Tucson Youth 13B NL,False,M,2,1,1,0,50.0,2025-09-19,2025-09-20
State 48 FC Casa Grande 14/15 Black,False,M,2,0,2,0,0.0,2025-09-13,2025-09-20
CITY SC SW B14 Premier MUR,False,M,2,1,1,0,50.0,2025-05-18,2025-06-01
PRFC Southeast Valley 14B Copa,False,M,2,1,1,0,50.0,2025-09-06,2025-09-13
AZ Thundercats 2013,False,M,2,2,0,0,100.0,2025-04-05,2025-05-24
FSC United 15 Boys,False,M,2,0,2,0,0.0,2025-05-24,2025-05-25
AZ Arsenal 13 Boys Teal 2 Don,False,M,2,1,1,0,50.0,2024-09-21,2025-04-13
FC Elite Arizona 2014/15 Boys,False,M,2,1,1,0,50.0,2025-04-26,2025-04-27
Phoenix Premier FC 14B Pre MLS ACADEMY,False,M,2,0,2,0,0.0,2025-09-13,2025-09-20
U-13 (2013) Boys Yuma Academy,False,M,2,2,0,0,100.0,2025-09-20,2025-09-21
AZSC 2014B Azanger- Indoor Only,False,M,2,2,0,0,100.0,2025-07-07,2025-07-14
Rebels FC 2014,False,M,2,2,0,0,100.0,2025-09-13,2025-10-04
AZSC 15B Gold,False,M,2,0,2,0,0.0,2025-04-16,2025-04-19
West Valley 2014 Boys Acosta Pre-Premier,False,M,2,0,1,1,0.0,2025-09-06,2025-09-20
Phoenix Premier FC 14B SW White,False,M,2,1,1,0,50.0,2025-09-20,2025-10-04
Los Alamos Soccer League,False,M,2,1,1,0,50.0,2025-05-10,2025-05-11
FCDA 13B Red NL (AZ),False,M,2,0,1,1,0.0,2025-09-12,2025-09-13
AZ Arsenal 13 Boys Teal 1,False,M,2,1,1,0,50.0,2025-01-04,2025-04-12
Xplosion SC B14,False,M,2,1,0,1,50.0,2025-08-23,2025-08-24
FDI 2015,False,M,2,2,0,0,100.0,2024-09-28,2025-04-19
AZ Arsenal 14 Boys Teal CJB,False,M,2,0,2,0,0.0,2025-07-19,2025-07-20
SCFC 2014,False,M,2,0,1,1,0.0,2025-09-26,2025-09-28
Rey Del Castillo FC Gold,False,M,2,1,1,0,50.0,2025-09-13,2025-09-13
Las Vegas Elite FC B14 Gold,False,M,2,1,1,0,50.0,2025-03-01,2025-06-13
B13 Velazquez,False,M,1,0,1,0,0.0,2025-08-24,2025-08-24
Platinum IE B14 Yanez 1037,False,M,1,0,1,0,0.0,2025-08-09,2025-08-09
