Game_ID,Team_A,Team_B,Team_A_Match,Team_B_Match,Reason,Date,Event
18592428,Phoenix United 2015 Elite,14B JDeutsch Pre-MLS Next,,14B JDeutsch Pre-MLS Next,Unmatched team(s),1/3/2025,New Year's Futures Cup 2025
16745181,14B JDeutsch Pre-MLS Next,CCV STARS 14 Boys Orange LAV,14B JDeutsch Pre-MLS Next,,Unmatched team(s),12/8/2024,2024-2025 ASA Advanced Leagues
16745208,14B JCFresquez Pre-MLS Next,14B JDeutsch Pre-MLS Next,,14B JDeutsch Pre-MLS Next,Unmatched team(s),10/26/2024,2024-2025 ASA Advanced Leagues
16745195,14B JDeutsch Pre-MLS Next,14 ECNL #2,14B JDeutsch Pre-MLS Next,,Unmatched team(s),10/5/2024,2024-2025 ASA Advanced Leagues
16745200,14B JDeutsch Pre-MLS Next,14 ECNL #1,14B JDeutsch Pre-MLS Next,,Unmatched team(s),9/28/2024,2024-2025 ASA Advanced Leagues
17674337,14B JDeutsch Pre-MLS Next,14B JCFresquez Pre-MLS Next,14B JDeutsch Pre-MLS Next,,Unmatched team(s),9/14/2024,2024 Cactus Kick Off
19916713,14 ECNL #2,AZSC 14B Perez,,AZSC 14B Perez,Unmatched team(s),4/27/2025,2025 Arizona Presidents Cup
18969205,AZSC 14B Perez,AZ Arsenal 15 Boys Teal 1 JZ,AZSC 14B Perez,,Unmatched team(s),2/9/2025,Desert Classic 2025
18969198,AZ Arsenal 15 Boys Teal 1 JZ,AZSC 14B Perez,,AZSC 14B Perez,Unmatched team(s),2/6/2025,Desert Classic 2025
18702683,U-11 (2014) Boys Pre Academy,AZSC 14B Perez,,AZSC 14B Perez,Unmatched team(s),1/24/2025,2025 AZ Soccer Clash hosted by Phoenix Premier FC
18438002,14B Jimmy,AZSC 14B Perez,,AZSC 14B Perez,Unmatched team(s),12/15/2024,RSL-AZ Holiday Classic 2024
18437998,AZSC 14B Perez,14B Jimmy,AZSC 14B Perez,,Unmatched team(s),12/14/2024,RSL-AZ Holiday Classic 2024
18181911,14 ECNL #2,AZSC 14B Perez,,AZSC 14B Perez,Unmatched team(s),11/24/2024,2024 Heritage Cup 
18181907,AZSC 14B Perez,Legends FC AZ 14B Gold,AZSC 14B Perez,,Unmatched team(s),11/23/2024,2024 Heritage Cup 
17045639,AZSC 14B Perez,Legends FC AZ 14B Gold,AZSC 14B Perez,,Unmatched team(s),11/17/2024,2024-25 MaxinMotion Open League Season 1
17045648,AZSC 14B Perez,15B NMarkette,AZSC 14B Perez,,Unmatched team(s),11/16/2024,2024-25 MaxinMotion Open League Season 1
22641537,Southeast 2014 Boys Blue,Las Vegas Sports Academy U12 Boys Pre MLS Next 2014,Southeast 2014 Boys Blue,,Unmatched team(s),9/13/2025,2025 Cactus Kick Off
20286516,Southeast 2014 Boys Blue,Phoenix United 14 Elite,Southeast 2014 Boys Blue,,Unmatched team(s),4/13/2025,Rivalries Cup 2025
18604637,CCV STARS 14 Boys Orange LAV,Southeast 2014 Boys Blue,,Southeast 2014 Boys Blue,Unmatched team(s),1/11/2025,CCV Stars Champions Cup 2025
17816337,Legends FC AZ 14B Gold,Southeast 2014 Boys Blue,,Southeast 2014 Boys Blue,Unmatched team(s),9/29/2024,The Derby (2024)
22380960,Phoenix United 2015 Elite,PRFC Scottsdale 14B Pre-Academy,,PRFC Scottsdale 14B Pre-Academy,Unmatched team(s),8/29/2025,Phoenix Rising Cup 2025
